# Bias = weighted mean(Ŷ − Y). nMAE = MAE / mean(Y) × 100. All metrics computed on outer-fold predictions with NWEIGHT.
Group,n,Mean Observed (kBTU),Bias (kBTU),MAE (kBTU),Bias (%),nMAE (%)
<$5K,501,23421,-3592,12906,-15.3,55.1
$5-7.5K,206,21286,-3847,13977,-18.1,65.7
$7.5-10K,237,22924,-3920,10991,-17.1,47.9
$10-12.5K,400,24610,-4316,13359,-17.5,54.3
$12.5-15K,339,25860,-3940,13281,-15.2,51.4
$15-20K,545,27322,-5040,13562,-18.4,49.6
$20-25K,806,27133,-3451,13405,-12.7,49.4
$25-30K,742,28917,-5247,14220,-18.1,49.2
$30-35K,844,30139,-6371,14425,-21.1,47.9
$35-40K,762,31805,-7097,15164,-22.3,47.7
$40-50K,1290,30798,-5540,14917,-18.0,48.4
$50-60K,1431,32474,-5564,14637,-17.1,45.1
$60-75K,1908,33546,-6188,15256,-18.4,45.5
$75-100K,2278,36912,-6777,16459,-18.4,44.6
$100-150K,2634,39137,-6199,17343,-15.8,44.3
$150K+,2708,48444,-7972,20713,-16.5,42.8
