# Composition shift for excess_demand targeting by division. Representation Ratio = Share among candidates / Population share.
Group,n,Population Share (%),Candidate Share (%),Unweighted Share (%),Difference (pp),Selection Rate (%),Repr. Ratio
East North Central,1992,15.7,20.5,12.9,7.6,13.1,1.31
East South Central,1324,6.2,8.8,9.8,-1.0,14.1,1.41
Middle Atlantic,1957,13.5,13.3,11.0,2.3,9.8,0.98
Mountain North,1170,3.9,5.5,8.8,-3.3,14.1,1.41
Mountain South,852,3.7,1.3,1.7,-0.4,3.5,0.35
New England,1656,5.0,5.3,8.4,-3.2,10.7,1.07
Pacific,2076,13.9,8.3,10.2,-1.9,6.0,0.6
South Atlantic,3041,19.0,19.1,17.3,1.8,10.0,1.0
West North Central,1804,7.2,9.5,13.4,-3.9,13.2,1.32
West South Central,1759,11.9,8.5,6.5,2.0,7.1,0.71
