# Composition shift for excess_demand targeting by income. Representation Ratio = Share among candidates / Population share.
Group,n,Population Share (%),Candidate Share (%),Unweighted Share (%),Difference (pp),Selection Rate (%),Repr. Ratio
<$5K,501,3.5,3.8,2.9,0.9,11.0,1.1
$5-7.5K,206,1.5,1.2,0.9,0.3,8.3,0.83
$7.5-10K,237,1.6,1.1,0.8,0.3,6.8,0.68
$10-12.5K,400,2.6,1.8,1.8,0.1,7.1,0.71
$12.5-15K,339,2.2,1.9,1.6,0.4,8.8,0.88
$15-20K,545,3.4,3.0,2.9,0.1,8.8,0.88
$20-25K,806,5.0,5.4,5.3,0.1,10.8,1.08
$25-30K,742,4.7,4.3,3.7,0.5,9.1,0.91
$30-35K,844,5.1,4.5,3.9,0.6,8.7,0.87
$35-40K,762,4.5,3.5,3.6,-0.1,7.7,0.77
$40-50K,1290,7.5,6.6,6.5,0.1,8.8,0.88
$50-60K,1431,8.3,6.9,6.6,0.3,8.3,0.83
$60-75K,1908,10.5,10.6,10.7,-0.1,10.1,1.01
$75-100K,2278,12.2,11.8,12.2,-0.4,9.7,0.97
$100-150K,2634,13.6,15.3,15.9,-0.5,11.3,1.13
$150K+,2708,13.8,18.1,20.8,-2.7,13.1,1.31
