# Composition shift for high_intensity targeting by income. Representation Ratio = Share among candidates / Population share.
Group,n,Population Share (%),Candidate Share (%),Unweighted Share (%),Difference (pp),Selection Rate (%),Repr. Ratio
<$5K,501,3.5,5.2,4.0,1.1,14.8,1.48
$5-7.5K,206,1.5,1.9,1.5,0.3,12.7,1.27
$7.5-10K,237,1.6,2.5,2.2,0.4,15.5,1.55
$10-12.5K,400,2.6,3.7,3.2,0.5,14.4,1.44
$12.5-15K,339,2.2,3.0,2.8,0.2,13.5,1.35
$15-20K,545,3.4,4.7,4.3,0.4,13.9,1.39
$20-25K,806,5.0,7.4,7.0,0.4,14.8,1.48
$25-30K,742,4.7,5.8,4.9,0.8,12.3,1.23
$30-35K,844,5.1,5.3,5.4,-0.1,10.3,1.03
$35-40K,762,4.5,4.0,3.9,0.1,9.0,0.9
$40-50K,1290,7.5,9.6,9.4,0.2,12.8,1.28
$50-60K,1431,8.3,7.3,7.7,-0.4,8.8,0.88
$60-75K,1908,10.5,9.6,10.3,-0.7,9.2,0.92
$75-100K,2278,12.2,11.1,11.2,-0.1,9.1,0.91
$100-150K,2634,13.6,10.2,11.3,-1.2,7.5,0.75
$150K+,2708,13.8,8.8,10.8,-2.1,6.3,0.63
