# Policy score: high_intensity. Top 10% candidates defined using weighted/unweighted 90th percentile threshold on outer-fold predictions.
Metric,Value,Description
Jaccard Index,0.890,Intersection / Union of candidate sets
Dice Overlap,0.942,Dice coefficient: 2×|A∩B| / (|A|+|B|)
Recall (Weighted→Unweighted),0.890,Fraction of weighted candidates also in unweighted
Containment,1.000,"Intersection / min(|A|, |B|)"
Only in Weighted,219 (11.0%),Candidates selected only with weights
Only in Unweighted,0 (0.0%),Candidates selected only without weights
Weighted Threshold,33 kBTU/ft²,Weighted 90th percentile cutoff
Unweighted Threshold,34 kBTU/ft²,Unweighted 90th percentile cutoff
--- Equal Budget (N fixed) ---,,Both methods select top 1983 candidates
Jaccard (Equal Budget),0.327,Jaccard when both select same N candidates
Dice (Equal Budget),0.493,Dice coefficient for equal-budget lists
