,income,share_weighted_candidates,share_unweighted_candidates,share_difference,population_share,n_in_group
0,1,1.6926445053033041,1.4172335600907031,0.275410945212601,3.4898375839262834,501
1,2,0.5192520780994924,0.2834467120181406,0.23580536608135177,1.4612078454558723,206
2,3,0.7287067342452502,0.6235827664399093,0.10512396780534095,1.6371637503916008,237
3,4,0.9260983642671163,0.7936507936507936,0.13244757061632273,2.5875768005896234,400
4,5,0.8927332932545228,0.7936507936507936,0.09908249960372917,2.2133219779203834,339
5,6,2.373836328184148,1.1904761904761905,1.1833601377079577,3.421273882141883,545
6,7,3.0018671095001648,2.6077097505668934,0.3941573589332714,5.013466489301139,806
7,8,3.4229595585065673,2.6643990929705215,0.7585604655360458,4.6890241001314426,742
8,9,3.7808236920904923,3.4013605442176873,0.379463147872805,5.138035221659575,844
9,10,4.025772284316918,3.2879818594104306,0.7377904249064877,4.5090462745996875,762
10,11,5.346789265752717,5.158730158730158,0.1880591070225588,7.5236421839356415,1290
11,12,7.19635301438241,6.6893424036281175,0.5070106107542927,8.281722003187902,1431
12,13,9.205202460585118,9.977324263038549,-0.7721218024534302,10.451295616392057,1908
13,14,12.839670646760421,12.3015873015873,0.5380833451731206,12.193428760120035,2278
14,15,15.966345683981062,17.290249433106574,-1.3239037491255115,13.56976663005303,2634
15,16,28.080944980770294,31.519274376417233,-3.4383293956469387,13.820190880193836,2708
